,School,Zip Code,Grades,Local District,Board District,complete_address
53,Telfair Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,10975 Telfair Ave Pacoima CA 91331
54,Citizens of the World Silver Lake,90026,K- 4,XR,5-Jackie Goldberg,110 N Coronado St Los Angeles CA 90026
55,Alliance Morgan McKinzie High,90063,9-12,XR,2-Monica Garcia,110 S Townsend Ave Los Angeles CA 90063
56,Vox Collegiate of Los Angeles,90044,6- 6,XR,7-Dr Richard A Vladovic,1100 W Manchester Ave Los Angeles CA 90044
57,Mission Continuation High,91340,9-12,NE,6-Kelly Gonez,11015 O'Melveny Ave San Fernando CA 91340
58,Pacoima Charter Elementary,91331,K- 5,XR,6-Kelly Gonez,11016 Norris Ave Pacoima CA 91331
59,Clover Avenue Elementary,90034,K- 5,W,1-Dr George J McKenna III,11020 Clover Ave Los Angeles CA 90034
60,Sara Coughlin Elementary School,91331,K- 5,NE,6-Kelly Gonez,11035 Borden Ave Pacoima CA 91331
61,95th Street Elementary,90044,K- 5,W,1-Dr George J McKenna III,1109 W 96th St Los Angeles CA 90044
62,West Athens Elementary,90044,K- 5,W,1-Dr George J McKenna III,1110 W 119th St Los Angeles CA 90044
63,Ritter Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,11108 Watts Ave Los Angeles CA 90059
64,Dr Richard A Vladovic Harbor Teacher Preparation Academy,90744,9-12,S,7-Dr Richard A Vladovic,1111 Figueroa Pl Wilmington CA 90744
65,Ford Boulevard Elementary,90022,K- 5,E,5-Jackie Goldberg,1112 S Ford Blvd Los Angeles CA 90022
66,Animo South Los Angeles Charter High School,90047,9-12,XR,1-Dr George J McKenna III,11130 Western Ave Los Angeles CA 90047
67,Charnock Road Elementary,90034,K- 5,W,1-Dr George J McKenna III,11133 Charnock Rd Los Angeles CA 90034
68,San Fernando Senior High,91340,9-12,NE,6-Kelly Gonez,11133 O'Melveny Ave San Fernando CA 91340
69,Oscar de la Hoya Animo Charter High School,90023,9-12,XR,2-Monica Garcia,1114 S Lorena St Los Angeles CA 90023
70,Hollywood Primary Center,90038,K- 4,W,4-Nick Melvoin,1115 Tamarind Ave Los Angeles CA 90038
71,Aragon Avenue Elementary,90065,K- 5,C,5-Jackie Goldberg,1118 Aragon Ave Los Angeles CA 90065
72,Danube Avenue Elementary,91344,K- 5,NW,3-Scott M Schmerelson,11220 Danube Ave Granada Hills CA 91344
73,Samuel Gompers MS University Pathways Medical Magnet Academy,90061,9-11,S,7-Dr Richard A Vladovic,11227 S San Pedro St Los Angeles CA 90061
74,Meyler Street Elementary,90502,K- 5,S,7-Dr Richard A Vladovic,1123 W 223rd St Torrance CA 90502
75,Wisdom Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,1125 E 74th St Los Angeles CA 90001
76,John F Kennedy Senior High Gifted Medical Magnet,91344,9-12,NW,3-Scott M Schmerelson,11254 Gothic Ave Granada Hills CA 91344
77,Alliance College Ready Academy #8,90063,6- 8,XR,2-Monica Garcia,113 S Rowan Ave Los Angeles CA 90063
78,San Fernando Elementary,91340,K- 5,NE,6-Kelly Gonez,1130 Mott St San Fernando CA 91340
79,Community Elementary Magnet Charter School,90049,K- 5,W,4-Nick Melvoin,11301 Bellagio Rd Los Angeles CA 90049
80,Ramona Elementary,90029,K- 6,W,5-Jackie Goldberg,1133 N Mariposa Ave Los Angeles CA 90029
81,Magnolia Science Academy #4,90064,6-12,XR,4-Nick Melvoin,11330 W Graham Pl Los Angeles CA 90064
82,Fenton Avenue Primary Center,91331,K- 2,XR,6-Kelly Gonez,11351 Dronfield Ave Pacoima CA 91331
83,Wilmington Park Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,1140 Mahar Ave Wilmington CA 90744
84,Brainard Elementary,91342,K- 5,NE,6-Kelly Gonez,11407 Brainard Ave Lakeview Terrace CA 91342
85,Maurice Sendak Elementary,91601,K- 5,NE,6-Kelly Gonez,11414 W Tiara St North Hollywood CA 91601
86,PUC Lakeview Charter Academy,91342,6- 8,XR,6-Kelly Gonez,11465 Kagel Cyn St Lakeview Terrace CA 91342
87,PUC Community Charter Middle & Early College High Schools,91342,6- 8,XR,6-Kelly Gonez,11500 Eldridge Ave Lakeview Terrace CA 91342
88,Woodcrest Elementary,90044,K- 5,W,1-Dr George J McKenna III,1151 W 109th St Los Angeles CA 90044
89,Arminta Street Elementary,91605,K- 5,NE,6-Kelly Gonez,11530 Strathern St North Hollywood CA 91605
90,Cimarron Avenue Elementary,90250,K- 5,W,1-Dr George J McKenna III,11559 Cimarron Ave Hawthorne CA 90250
91,Citizens of the World Mar Vista,90064,K- 2,XR,4-Nick Melvoin,11561 Gateway Blvd Los Angeles CA 90064
92,Richland Avenue Elementary,90064,K- 6,W,4-Nick Melvoin,11562 Richland Ave Los Angeles CA 90064
93,Berendo Middle School,90006,6- 8,C,2-Monica Garcia,1157 S Berendo St Los Angeles CA 90006
94,116th Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,11610 Stanford Ave Los Angeles CA 90059
95,Colfax Charter Elementary,91607,K- 5,NE,3-Scott M Schmerelson,11724 Addison St North Hollywood CA 91607
96,Stoner Avenue Elementary,90230,K- 5,W,4-Nick Melvoin,11735 Braddock Dr Culver City CA 90230
97,University High School Charter,90025,9-12,W,4-Nick Melvoin,11800 Texas Ave Los Angeles CA 90025
98,Knollwood Preparatory Academy,91344,K- 5,NW,3-Scott M Schmerelson,11822 Gerald Ave Granada Hills CA 91344
99,Fenton Avenue Elementary,91342,3- 5,XR,6-Kelly Gonez,11828 Gain St Lakeview Terrace CA 91342
100,Alliance Marine Tech 6-12 Complex,91352,6-12,XR,6-Kelly Gonez,11933 Allegheny St Sun Valley CA 91352
101,Estrella Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,120 E 57th St Los Angeles CA 90011
102,Hillside Elementary,90031,K- 5,E,2-Monica Garcia,120 E Avenue 35 Los Angeles CA 90031
103,Francisco Bravo Senior High Medical Magnet,90033,9-12,E,2-Monica Garcia,1200 N Cornwell St Los Angeles CA 90033
104,Felicitas And Gonzalo Mendez Senior High,90033,9-12,E,2-Monica Garcia,1200 Plaza Del Sol Los Angeles CA 90033
105,Los Angeles Academy of Arts and Enterprise,90026,6-12,XR,2-Monica Garcia,1200 W Colton St Los Angeles CA 90026
106,Fernangeles DL One & Two-Way Im Spanish,91352,K- 4,NE,6-Kelly Gonez,12001 Art St Sun Valley CA 91352
107,Los Angeles Elementary,90006,K- 5,C,2-Monica Garcia,1211 S Hobart Blvd Los Angeles CA 90006
108,Queen Anne Place Elementary,90019,K- 5,W,1-Dr George J McKenna III,1212 Queen Anne Pl Los Angeles CA 90019
109,Park Western Place Elementary,90732,K- 5,S,7-Dr Richard A Vladovic,1214 Park Western Pl San Pedro CA 90732
110,Camino Nuevo High School,90026,9-10,XR,2-Monica Garcia,1215 W Miramar St Los Angeles CA 90026
111,PUC Nueva Esperanza Charter Academy,91340,6- 8,XR,6-Kelly Gonez,1218 4th St San Fernando CA 91340
112,Burbank Boulevard Elementary,91607,K- 5,NE,3-Scott M Schmerelson,12215 Albers St North Hollywood CA 91607
113,Playa Del Rey Elementary,90230,K- 5,W,4-Nick Melvoin,12221 Juniette St Culver City CA 90230
114,Animo Legacy Charter Middle School,90047,6- 8,XR,1-Dr George J McKenna III,12226 S Western Ave Los Angeles CA 90047
115,El Oro Way Charter for Enriched Studies,91344,K- 5,NW,3-Scott M Schmerelson,12230 El Oro Way Granada Hills CA 91344
116,Hooper Avenue Elementary,90011,1- 5,C,5-Jackie Goldberg,1225 E 52nd St Los Angeles CA 90011
117,Aspire Inskeep Academy Charter,90003,K- 6,XR,7-Dr Richard A Vladovic,123 W 59th St Los Angeles CA 90003
118,Robert Frost Middle School,91344,6- 8,NW,3-Scott M Schmerelson,12314 Bradford Pl Granada Hills CA 91344
119,Harry Bridges Span School,90744,K- 8,S,7-Dr Richard A Vladovic,1235 Broad Ave Wilmington CA 90744
120,Arts in Action Community Middle,90023,6- 8,XR,2-Monica Garcia,1241 S Soto St Los Angeles CA 90023
121,John H Francis Polytechnic Senior High,91352,9-12,NE,6-Kelly Gonez,12431 Roscoe Blvd Sun Valley CA 91352
122,Vista del Valle Dual Language Academy,91340,K- 5,NE,6-Kelly Gonez,12441 Bromont Ave San Fernando CA 91340
123,Porter Ranch School DL Two-Way Im Korean,91326,K- 5,NW,3-Scott M Schmerelson,12450 Mason Ave Porter Ranch CA 91326
124,Goethe International Charter School,90066,K- 5,XR,4-Nick Melvoin,12500 Braddock Dr Los Angeles CA 90066
125,Robert H Lewis Continuation High,91352,9-12,NE,6-Kelly Gonez,12508 Wicks St Sun Valley CA 91352
126,Bert Corona Charter High,91331,9-10,XR,6-Kelly Gonez,12513 Gain St Pacoima CA 91331
127,Glenn Hammond Curtiss Middle School,90746,6- 8,S,7-Dr Richard A Vladovic,1254 E Helmick St Carson CA 90746
128,Charles Maclay Middle School,91331,6- 8,NE,6-Kelly Gonez,12540 Pierce Ave Pacoima CA 91331
129,PUC Inspire Charter Academy,91331,6- 8,XR,6-Kelly Gonez,12550 Van Nuys Blvd Pacoima CA 91331
130,Hillery T Broadous Elementary,91331,K- 5,NE,6-Kelly Gonez,12561 Filmore St Pacoima CA 91331
131,Ann Street Elementary,90012,K- 5,E,2-Monica Garcia,126 E Bloom St Los Angeles CA 90012
132,Lenicia B Weemes Elementary,90007,K- 5,C,1-Dr George J McKenna III,1260 W 36th Pl Los Angeles CA 90007
133,Ocean Charter,90066,K- 8,XR,4-Nick Melvoin,12606 Culver Blvd Los Angeles CA 90066
134,Animo Watts College Preparatory Academy,90061,9-12,XR,7-Dr Richard A Vladovic,12628 Avalon Blvd Los Angeles CA 90061
135,Russell Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,1263 E Firestone Blvd Los Angeles CA 90001
136,Endeavor College Prep Charter School,90023,K- 8,XR,2-Monica Garcia,1263 S Soto St Los Angeles CA 90023
137,112th Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1265 E 112th St Los Angeles CA 90059
138,Larchmont Charter School,90046,K-10,XR,4-Nick Melvoin,1265 N Fairfax Ave West Hollywood CA 90046
139,Animo Mae Jemison Charter Middle School,90061,6- 8,XR,7-Dr Richard A Vladovic,12700 Avalon Blvd Los Angeles CA 90061
140,New Design Charter School - Watts,90061,6-12,XR,7-Dr Richard A Vladovic,12714 S Avalon Los Angeles CA 90061
141,El Dorado Avenue Elementary,91342,K- 5,NE,6-Kelly Gonez,12749 El Dorado Ave Sylmar CA 91342
142,Hooper Avenue Primary Center,90011,K- K,C,5-Jackie Goldberg,1280 E 52nd St Los Angeles CA 90011
143,Short Avenue Elementary,90066,K- 6,W,4-Nick Melvoin,12814 Maxella Ave Los Angeles CA 90066
144,Charles Leroy Lowman Special Ed & Career Transition Center,91605,K-12,NE,6-Kelly Gonez,12827 Saticoy St North Hollywood CA 91605
145,Main Street Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,129 E 53rd St Los Angeles CA 90011
146,Jack London Continuation High,91401,9-12,NE,3-Scott M Schmerelson,12924 Oxnard St Van Nuys CA 91401
147,Jack London Community Day School,91401,9-12,NE,3-Scott M Schmerelson,12924-A Oxnard St Valley Glen CA 91401
148,Phoenix Continuation High,90066,9-12,W,4-Nick Melvoin,12971 Zanja St Los Angeles CA 90066
149,San Fernando Middle School,91340,6- 8,NE,6-Kelly Gonez,130 N Brand Blvd San Fernando CA 91340
150,James Madison Middle School,91605,6- 8,NE,3-Scott M Schmerelson,13000 Hart St North Hollywood CA 91605
151,Montague Charter Academy for the Arts and Sciences,91331,K- 5,XR,6-Kelly Gonez,13000 Montague St Pacoima CA 91331
152,Ulysses S Grant Senior High,91401,9-12,NE,3-Scott M Schmerelson,13000 Oxnard St Van Nuys CA 91401
153,Venice Senior High,90066,9-12,W,4-Nick Melvoin,13000 Venice Blvd Los Angeles CA 90066
154,Fries Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,1301 Fries Ave Wilmington CA 90744
155,Gardena Senior High,90248,9-12,S,7-Dr Richard A Vladovic,1301 W 182nd St Gardena CA 90248
156,Rockdale Visual & Performing Arts Magnet,90041,K- 6,C,5-Jackie Goldberg,1303 Yosemite Dr Los Angeles CA 90041
157,Sylmar Academy Biotech Health/Eng Magnet,91342,9-12,NE,6-Kelly Gonez,13050 Borden Ave Sylmar CA 91342
158,Harding Street Elementary,91342,K- 5,NE,6-Kelly Gonez,13060 Harding St Sylmar CA 91342
159,Riverside Drive Charter School,91423,K- 5,NE,3-Scott M Schmerelson,13061 Riverside Dr Sherman Oaks CA 91423
160,Brockton Avenue Elementary,90025,K- 5,W,4-Nick Melvoin,1309 Armacost Ave Los Angeles CA 90025
161,APEX Academy,90028,7-12,XR,4-Nick Melvoin,1309 N Wilton Pl 3rd Fl Los Angeles CA 90028
162,Helen Bernstein Senior High,90028,9-12,W,4-Nick Melvoin,1309 N Wilton Pl Hollywood CA 90028
163,Alliance College Ready Academy #12,90011,6- 6,XR,7-Dr Richard A Vladovic,131 E 50th St Los Angeles CA 90011
164,Evergreen Continuation High,91342,9-12,NE,6-Kelly Gonez,13101 Dronfield Ave Sylmar CA 91342
165,Christopher Dena Elementary,90023,K- 6,E,2-Monica Garcia,1314 Dacotah St Los Angeles CA 90023
166,Playa Vista Elementary,90094,K- 5,W,4-Nick Melvoin,13150 W Bluff Creek Dr Playa Vista CA 90094
167,Joseph Le Conte Middle School,90028,6- 8,W,4-Nick Melvoin,1316 N Bronson Ave Hollywood CA 90028
168,Citizens of the World Hollywood,90028,K- 4,XR,4-Nick Melvoin,1316 N Bronson Ave Los Angeles CA 90028
169,Thomas Jefferson Senior High,90011,9-12,C,5-Jackie Goldberg,1319 E 41st St Los Angeles CA 90011
170,Betty Plasencia Elementary,90026,K- 5,C,2-Monica Garcia,1321 Cortez St Los Angeles CA 90026
171,Dr Lawrence H Moore Math Science Technology Academy,90001,K- 5,S,7-Dr Richard A Vladovic,1321 E 61st St Los Angeles CA 90001
172,Purche Avenue Elementary STEAM Magnet,90249,1- 5,S,1-Dr George J McKenna III,13210 Purche Ave Gardena CA 90249
173,Sylmar Elementary,91342,K- 5,NE,6-Kelly Gonez,13291 Phillippi Ave Sylmar CA 91342
174,Hubbard Street Elementary STEAM Magnet,91342,1- 3,NE,6-Kelly Gonez,13325 Hubbard St Sylmar CA 91342
175,Vaughn Next Century Learning Center,91340,K-12,XR,6-Kelly Gonez,13330 Vaughn St San Fernando CA 91340
176,Herrick Avenue Elementary,91342,K- 5,NE,6-Kelly Gonez,13350 Herrick Ave Sylmar CA 91342
177,PUC Lakeview Charter High School,91342,9-12,XR,6-Kelly Gonez,13361 Glenoaks Blvd Sylmar CA 91342
178,Parmelee Avenue Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,1338 E 76th Pl Los Angeles CA 90001
179,Erwin Elementary,91401,K- 5,NE,3-Scott M Schmerelson,13400 Erwin St Van Nuys CA 91401
180,Lake Street Primary School,90026,K- 1,C,2-Monica Garcia,135 N Lake St Los Angeles CA 90026
181,20th Street Elementary,90011,K- 5,C,2-Monica Garcia,1353 E 20th St Los Angeles CA 90011
182,Discovery Charter Preparatory School #2,91342,9-12,XR,6-Kelly Gonez,13570 Eldridge Ave Sylmar CA 91342
183,Kittridge Street Elementary,91401,K- 5,NE,3-Scott M Schmerelson,13619 Kittridge St Van Nuys CA 91401
184,Canterbury Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,13670 Montague St Arleta CA 91331
185,STEM Preparatory Elementary,90007,K- 3,XR,1-Dr George J McKenna III,1374 W 35th St Los Angeles CA 90007
186,Sharp Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,13800 Pierce St Arleta CA 91331
187,Avalon Gardens Elementary,90061,K- 6,S,7-Dr Richard A Vladovic,13940 S San Pedro St Los Angeles CA 90061
188,Miramonte Elementary,90001,K- 5,S,7-Dr Richard A Vladovic,1400 E 68th St Los Angeles CA 90001
189,PUC Community Charter Elementary,91342,K- 5,XR,6-Kelly Gonez,14019 Syre St Sylmar CA 91342
190,Benjamin Banneker Career and Transition Center,90061,12-12,S,7-Dr Richard A Vladovic,14024 S San Pedro St Los Angeles CA 90061
191,Fairburn Avenue Elementary,90024,K- 5,W,4-Nick Melvoin,1403 Fairburn Ave Los Angeles CA 90024
192,Chandler Elementary,91401,K- 5,NE,3-Scott M Schmerelson,14030 Weddington St Sherman Oaks CA 91401
193,Chase Street Elementary,91402,K- 5,NW,6-Kelly Gonez,14041 Chase St Panorama City CA 91402
194,White Point Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,1410 Silvius Ave San Pedro CA 90731
195,Charles Drew MS University Pathways Public Service Academy,90001,9-11,S,7-Dr Richard A Vladovic,1415 Firestone Blvd Los Angeles CA 90001
196,Robert E Peary Middle School,90247,6- 8,S,7-Dr Richard A Vladovic,1415 W Gardena Blvd Gardena CA 90247
197,75th Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,142 W 75th St Los Angeles CA 90003
198,Dr Julian Nava Learning Academy,90011,6- 8,C,2-Monica Garcia,1420 E Adams Blvd Los Angeles CA 90011
199,Arleta Senior High,91331,9-12,NE,6-Kelly Gonez,14200 Van Nuys Blvd Arleta CA 91331
200,Dan M Isaacs Avalon High School,90744,9-12,S,7-Dr Richard A Vladovic,1425 N Avalon Blvd Wilmington CA 90744
201,Gabriella Charter School,90026,K- 8,XR,5-Jackie Goldberg,1435 Logan St Los Angeles CA 90026
202,Vermont Avenue Elementary,90007,K- 5,C,1-Dr George J McKenna III,1435 W 27th St Los Angeles CA 90007
203,118th Street Elementary,90061,K- 5,S,7-Dr Richard A Vladovic,144 E 118th St Los Angeles CA 90061
204,Ascot Avenue Elementary,90011,K- 5,C,5-Jackie Goldberg,1447 E 45th St Los Angeles CA 90011
205,Paul Revere Charter Middle School,90049,6- 8,W,4-Nick Melvoin,1450 Allenford Ave Los Angeles CA 90049
206,Dyer Street Elementary,91342,K- 5,NE,6-Kelly Gonez,14500 Dyer St Sylmar CA 91342
207,Sylmar Leadership Academy,91342,K- 8,NE,6-Kelly Gonez,14550 Bledsoe St Sylmar CA 91342
208,Olive Vista Middle School,91342,6- 8,NE,6-Kelly Gonez,14600 Tyler St Sylmar CA 91342
209,Cal Burke High School,91402,9-12,NE,6-Kelly Gonez,14630 Lanark St Panorama City CA 91402
210,Valley Charter Middle School,91405,6- 8,XR,6-Kelly Gonez,14646 Sherman Way Van Nuys CA 91405
211,President Avenue Elementary,90710,K- 6,S,7-Dr Richard A Vladovic,1465 W 243rd St Harbor City CA 90710
212,107th Street Elementary,90003,K- 5,S,7-Dr Richard A Vladovic,147 E 107th St Los Angeles CA 90003
213,New Village Girls Academy,90026,9-12,XR,2-Monica Garcia,147 N Occidental Blvd Los Angeles CA 90026
214,96th Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,1471 E 96th St Los Angeles CA 90002
215,Will Rogers Continuation High,91411,9-12,NE,6-Kelly Gonez,14711 Gilmore St Van Nuys CA 91411
216,Sherman Oaks Elementary Charter School,91403,K- 5,NE,3-Scott M Schmerelson,14755 Greenleaf St Sherman Oaks CA 91403
217,Alta California Elementary Gifted/STEAM Magnet,91402,2- 5,NW,6-Kelly Gonez,14859 Rayen St Panorama City CA 91402
218,San Jose Street Elementary,91345,K- 5,NW,6-Kelly Gonez,14928 Clymer St Mission Hills CA 91345
219,Osceola Street Elementary,91342,K- 5,NE,6-Kelly Gonez,14940 Osceola St Sylmar CA 91342
220,Union Avenue Elementary,90057,K- 5,C,2-Monica Garcia,150 S Burlington Ave Los Angeles CA 90057
221,Robert Hill Lane Elementary,91754,K- 6,E,5-Jackie Goldberg,1500 Avenida Cesar Chavez Monterey Park CA 91754
222,West Adams Preparatory Senior High,90007,9-12,C,2-Monica Garcia,1500 W Washington Bl Los Angeles CA 90007
223,Murchison Street Elementary,90033,K- 6,E,2-Monica Garcia,1501 Murchison St Los Angeles CA 90033
224,Richard Henry Dana Middle School,90731,6- 8,S,7-Dr Richard A Vladovic,1501 S Cabrillo Ave San Pedro CA 90731
225,Lassen Elementary,91343,K- 5,NW,6-Kelly Gonez,15017 Superior St North Hills CA 91343
226,Valerio Street Elementary,91405,K- 5,NE,6-Kelly Gonez,15035 Valerio St Van Nuys CA 91405
227,Vista Middle School,91402,6- 8,NE,6-Kelly Gonez,15040 Roscoe Blvd Panorama City CA 91402
228,Harbor City Elementary,90710,K- 5,S,7-Dr Richard A Vladovic,1508 W 254th St Harbor City CA 90710
229,John Adams Middle School,90007,6- 8,C,2-Monica Garcia,151 W 30th St Los Angeles CA 90007
230,Micheltorena Street Elementary,90026,K- 5,C,5-Jackie Goldberg,1511 Micheltorena St Los Angeles CA 90026
231,Boys Academic Leadership Academy,90047,6- 9,W,1-Dr George J McKenna III,1511 W 110th St Los Angeles CA 90047
232,Pio Pico Middle School,90019,6- 8,W,1-Dr George J McKenna III,1512 S Arlington Ave Los Angeles CA 90019
233,Compton Avenue Elementary,90002,K- 5,S,7-Dr Richard A Vladovic,1515 E 104th St Los Angeles CA 90002
234,Virgil Middle School,90004,6- 8,C,2-Monica Garcia,152 N Vermont Ave Los Angeles CA 90004
235,Hollywood Senior High,90028,9-12,W,4-Nick Melvoin,1521 N Highland Ave Los Angeles CA 90028
236,Thomas Riley High School - CYESIS,90002,7-12,S,7-Dr Richard A Vladovic,1524 E 103rd St Los Angeles CA 90002
237,Phineas Banning Senior High,90744,9-12,S,7-Dr Richard A Vladovic,1527 Lakme Ave Wilmington CA 90744
238,15th Street Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,1527 S Mesa St San Pedro CA 90731
239,Grant Elementary,90028,K- 6,W,5-Jackie Goldberg,1530 N Wilton Pl Los Angeles CA 90028
240,Francisco Sepulveda Middle School Gifted Magnet,91343,6- 8,NW,6-Kelly Gonez,15330 Plummer St North Hills CA 91343
241,Ivy Bound Academy of Math Science & Technology,91403,5- 8,XR,3-Scott M Schmerelson,15355 Morrison St Sherman Oaks CA 91403
242,Judith F Baca Arts Acad DL Two-Way Im Spanish,90002,K- 6,S,7-Dr Richard A Vladovic,1536 E 89th St Los Angeles CA 90002
243,Duke Ellington Continuation High,90047,9-12,W,1-Dr George J McKenna III,1541 W 110th St Los Angeles CA 90047
244,Animo Florence-Firestone Charter Middle,90003,6- 7,XR,7-Dr Richard A Vladovic,155 W 69th St Los Angeles CA 90003
245,Alliance Ted K Tajima High,90026,9-11,XR,2-Monica Garcia,1552 W Rockwood St Los Angeles CA 90026
246,Hesby Oaks Leadership Charter,91436,K- 8,NW,4-Nick Melvoin,15530 Hesby St Encino CA 91436
247,Elysian Heights Elementary Arts Magnet,90026,K- 5,C,5-Jackie Goldberg,1562 Baxter St Los Angeles CA 90026
248,Nevin Avenue Elementary,90011,K- 5,C,5-Jackie Goldberg,1569 E 32nd St Los Angeles CA 90011
249,7th Street Elementary,90732,K- 5,S,7-Dr Richard A Vladovic,1570 W 7th St San Pedro CA 90732
250,Belmont Senior High,90026,9-12,C,2-Monica Garcia,1575 W 2nd St Los Angeles CA 90026
251,Bassett Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,15756 Bassett St Lake Balboa CA 91406
252,Palisades Charter High School,90272,9-12,XR,4-Nick Melvoin,15777 Bowdoin St Pacific Palisades CA 90272
253,186th Street Elementary,90248,K- 5,S,7-Dr Richard A Vladovic,1581 W 186th St Gardena CA 90248
254,Cohasset Street Elementary,91406,K- 5,NW,6-Kelly Gonez,15810 Saticoy St Lake Balboa CA 91406
255,Vintage Elementary Math/Science/Technology Magnet,91343,K- 5,NW,3-Scott M Schmerelson,15848 Stare St North Hills CA 91343
256,Haskell Elementary STEAM Magnet,91344,K- 5,NW,3-Scott M Schmerelson,15850 Tulsa St Granada Hills CA 91344
257,Albert Einstein Continuation High School,91343,9-12,NW,6-Kelly Gonez,15938 Tupper St North Hills CA 91343
258,George K Porter Middle School,91344,6- 8,NW,3-Scott M Schmerelson,15960 Kingsbury St Granada Hills CA 91344
259,Middle College High School,90047,9-12,W,1-Dr George J McKenna III,1600 Imperial Hwy Bldg 16 Los Angeles CA 90047
260,King-Drew Senior High Medicine and Science Magnet,90059,9-12,S,7-Dr Richard A Vladovic,1601 E 120th St Los Angeles CA 90059
261,Gledhill Street Elementary Science/Tech/Math Magnet,91343,1- 5,NW,6-Kelly Gonez,16030 Gledhill St North Hills CA 91343
262,153rd Street Elementary,90247,K- 6,S,7-Dr Richard A Vladovic,1605 W 153rd St Gardena CA 90247
263,Carson Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,161 E Carson St Carson CA 90745
264,Para Los Ninos Charter,90021,K- 5,XR,2-Monica Garcia,1617 E 7th St Los Angeles CA 90021
265,Denker Avenue Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,1620 W 162nd St Gardena CA 90247
266,Magnolia Avenue Elementary,90006,K- 5,C,2-Monica Garcia,1626 S Orchard Ave Los Angeles CA 90006
267,Lovelia P Flournoy Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1630 E 111th St Los Angeles CA 90059
268,Walgrove Avenue Elementary,90066,K- 5,W,4-Nick Melvoin,1630 Walgrove Ave Los Angeles CA 90066
269,Jane Addams Continuation High,91344,9-12,NW,3-Scott M Schmerelson,16341 Donmetz St Granada Hills CA 91344
270,San Pedro Street Elementary,90015,K- 5,C,2-Monica Garcia,1635 S San Pedro St Los Angeles CA 90015
271,Edwin Markham Middle School,90002,6- 8,S,7-Dr Richard A Vladovic,1650 E 104th St Los Angeles CA 90002
272,Emerson Community Charter,90024,6- 8,W,4-Nick Melvoin,1650 Selby Ave Los Angeles CA 90024
273,Valley Charter Elementary School,91343,K- 5,XR,3-Scott M Schmerelson,16514 Nordhoff St North Hills CA 91343
274,Animo Ralph Bunche Charter High,90011,9-12,XR,5-Jackie Goldberg,1655 E 27th St Los Angeles CA 90011
275,Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,90035,K- 5,W,1-Dr George J McKenna III,1661 S Crescent Hts Blvd Los Angeles CA 90035
276,Mayall Street Academy of Arts/Technology Magnet,91343,K- 5,NW,3-Scott M Schmerelson,16701 Mayall St North Hills CA 91343
277,Marquez Charter,90272,K- 5,W,4-Nick Melvoin,16821 Marquez Ave Pacific Palisades CA 90272
278,Parthenia Academy of Arts and Technology,91343,K- 5,NW,3-Scott M Schmerelson,16825 Napa St North Hills CA 91343
279,Encino Charter Elementary,91316,K- 5,NW,4-Nick Melvoin,16941 Addison St Encino CA 91316
280,Wilmington Middle School STEAM Magnet,90744,6- 8,S,7-Dr Richard A Vladovic,1700 Gulf Ave Wilmington CA 90744
281,Barack Obama Global Preparation Academy,90062,6- 8,C,1-Dr George J McKenna III,1700 W 46th St Los Angeles CA 90062
282,Equitas Academy Charter School,90015,K- 5,XR,2-Monica Garcia,1700 W Pico Blvd Los Angeles CA 90015
283,Gault Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,17000 Gault St Lake Balboa CA 91406
284,Birmingham Community Charter High School,91406,9-12,XR,3-Scott M Schmerelson,17000 Haynes St Lake Balboa CA 91406
285,Public Policy Charter,90062,5- 6,XR,1-Dr George J McKenna III,1701 Browning Blvd Los Angeles CA 90062
286,Balboa Elementary Gifted/Highly Gifted/High Ability Magnet,91325,1- 5,NW,3-Scott M Schmerelson,17020 Labrador St Northridge CA 91325
287,Valor Academy Elementary School,91325,K- 2,XR,3-Scott M Schmerelson,17081 Devonshire St Northridge CA 91325
288,Logan Academy of Global Ecology,90026,K- 8,C,5-Jackie Goldberg,1711 W Montana St Los Angeles CA 90026
289,Hightech LA,91406,9-12,XR,3-Scott M Schmerelson,17111 Victory Bl Lake Balboa CA 91406
