,School,Zip Code,Grades,Local District,Board District,complete_address
831,Saticoy Elementary,91605,K- 5,NE,6-Kelly Gonez,7850 Ethel Ave North Hollywood CA 91605
832,CTC - West,90046,12-12,W,4-Nick Melvoin,7850 Melrose Ave Los Angeles CA 90046
833,Alliance Bloomfield Tech High School,90255,9-12,XR,5-Jackie Goldberg,7907 Santa Fe Ave Huntington Park CA 90255
834,James Jordan Middle School,91306,6- 8,XR,3-Scott M Schmerelson,7911 Winnetka Ave Winnetka CA 91306
835,Strathern Street Elementary,91605,K- 5,NE,6-Kelly Gonez,7939 St Clair Ave North Hollywood CA 91605
836,Ranchito Avenue Elementary DL Two-Way Im Spanish,91402,K- K,NE,6-Kelly Gonez,7940 Ranchito Av Panorama City CA 91402
837,Ranchito Avenue Elementary,91402,K- 5,NE,6-Kelly Gonez,7940 Ranchito Ave Panorama City CA 91402
838,Palisades Charter Elementary,90272,K- 5,W,4-Nick Melvoin,800 Via De La Paz Pacific Palisades CA 90272
839,Glenwood Elementary,91352,K- 5,NE,6-Kelly Gonez,8001 Ledge Ave Sun Valley CA 91352
840,135th Street Elementary,90247,K- 5,S,1-Dr George J McKenna III,801 W 135th St Gardena CA 90247
841,Panorama Senior High,91402,9-12,NE,6-Kelly Gonez,8015 Van Nuys Bl Panorama City CA 91402
842,Girls Athletic Leadership School Los Angeles,91402,6- 7,XR,6-Kelly Gonez,8015 Van Nuys Blvd Panorama City CA 91402
843,Park Avenue Elementary DL Two-Way Im Spanish,90201,K- K,E,5-Jackie Goldberg,8020 Park Av Cudahy CA 90201
844,Park Avenue Elementary,90201,K- 6,E,5-Jackie Goldberg,8020 Park Ave Cudahy CA 90201
845,Euclid Avenue Elementary,90023,K- 5,E,2-Monica Garcia,806 Euclid Ave Los Angeles CA 90023
846,Coeur D Alene Avenue Elementary,90291,K- 5,W,4-Nick Melvoin,810 Coeur D Alene Ave Venice CA 90291
847,Animo James B Taylor Charter Middle School,90059,6- 6,XR,7-Dr Richard A Vladovic,810 E 111th Pl Los Angeles CA 90059
848,Burton Street Elementary,91402,K- 5,NE,6-Kelly Gonez,8111 Calhoun Ave Panorama City CA 91402
849,Capistrano Avenue Elementary,91304,K- 5,NW,3-Scott M Schmerelson,8118 Capistrano Ave West Hills CA 91304
850,Grover Cleveland Charter High School,91335,9-12,NW,3-Scott M Schmerelson,8140 Vanalden Ave Reseda CA 91335
851,San Pascual Avenue Elementary STEAM Magnet,90042,K- 5,C,5-Jackie Goldberg,815 San Pascual Ave Los Angeles CA 90042
852,Michelle Obama Elementary School,91402,K- 5,NE,6-Kelly Gonez,8150 Cedros Ave Panorama City CA 91402
853,52nd Street Elementary,90037,K- 5,W,1-Dr George J McKenna III,816 W 51st St Los Angeles CA 90037
854,Animo Venice Charter High School,90291,9-12,XR,4-Nick Melvoin,820 Broadway St Venice CA 90291
855,Benjamin Franklin High School,90042,6-12,C,5-Jackie Goldberg,820 N Avenue 54 Los Angeles CA 90042
856,Joaquin Miller Career and Transition Center,91335,12-12,NW,3-Scott M Schmerelson,8218 Vanalden Ave Reseda CA 91335
857,32nd Street USC Performing Arts Magnet,90007,K- 5,C,1-Dr George J McKenna III,822 W 32nd St Los Angeles CA 90007
858,Winnetka Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,8240 Winnetka Ave Winnetka CA 91306
859,Augustus F Hawkins SH - Critical Design and Gaming School,90044,9-12,W,1-Dr George J McKenna III,825 W 60th St Los Angeles CA 90044
860,Animo Pat Brown,90001,9-12,XR,7-Dr Richard A Vladovic,8255 Beach St Los Angeles CA 90001
861,Van Deene Avenue Elementary,90502,K- 6,S,7-Dr Richard A Vladovic,826 W Javelin St Torrance CA 90502
862,Gulf Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,828 W L St Wilmington CA 90744
863,Loren Miller Elementary,90044,K- 6,S,1-Dr George J McKenna III,830 W 77th St Los Angeles CA 90044
864,KIPP Philosophers Academy,90001,5- 7,XR,7-Dr Richard A Vladovic,8300 S Central Ave Los Angeles CA 90001
865,William R Anton Elementary DL Two-Way Im Spanish,90019,K- K,E,2-Monica Garcia,831 N Bonnie Beach Pl Los Angeles CA 90019
866,William R Anton Elementary,90063,K- 6,E,2-Monica Garcia,831 N Bonnie Beach Pl Los Angeles CA 90063
867,Amanecer Primary Center,90023,K- 2,E,2-Monica Garcia,832 S Eastman Ave Los Angeles CA 90023
868,Noble Avenue Elementary,91343,K- 5,NE,6-Kelly Gonez,8329 Noble Ave North Hills CA 91343
869,9th Street Elementary,90021,K- 5,C,2-Monica Garcia,835 Stanford Ave Los Angeles CA 90021
870,Sunland Elementary,91040,K- 5,NE,6-Kelly Gonez,8350 Hillrose St Sunland CA 91040
871,Castelar Street Elementary,90012,K- 5,C,2-Monica Garcia,840 Yale St Los Angeles CA 90012
872,Kentwood Elementary,90045,K- 5,W,4-Nick Melvoin,8401 Emerson Ave Los Angeles CA 90045
873,Graham Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,8407 S Fir Ave Los Angeles CA 90001
874,Independence Elementary DL Two-Way Im Spanish,90280,K- 1,E,5-Jackie Goldberg,8435 Victoria Ave South Gate CA 90280
875,KIPP Empower Academy,90003,K- 3,XR,1-Dr George J McKenna III,8466 S Figueroa St Los Angeles CA 90003
876,KIPP Academy of Opportunity,90003,5- 8,XR,1-Dr George J McKenna III,8500 S Figueroa St Los Angeles CA 90003
877,Richard E Byrd Middle School,91352,6- 8,NE,6-Kelly Gonez,8501 Arleta Ave Sun Valley CA 91352
878,TEACH Prep Cunningham & Morris Elem,90047,K- 1,XR,1-Dr George J McKenna III,8505 S Western Av Los Angeles CA 90047
879,South Park Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,8510 Towne Ave Los Angeles CA 90003
880,Wonderland Avenue Elementary,90046,K- 5,W,4-Nick Melvoin,8510 Wonderland Ave Los Angeles CA 90046
881,Charles Drew Middle School,90001,7- 8,S,7-Dr Richard A Vladovic,8511 Compton Ave Los Angeles CA 90001
882,Alliance Piera Barbaglia Shaheen Health,90044,9-12,XR,1-Dr George J McKenna III,8515 Kansas Ave Los Angeles CA 90044
883,Limerick Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,8530 Limerick Ave Winnetka CA 91306
884,Washington Primary Center,90044,K- 2,S,1-Dr George J McKenna III,860 W 112th St Los Angeles CA 90044
885,Panorama City Elementary,91402,K- 5,NW,6-Kelly Gonez,8600 Kester Ave Panorama City CA 91402
886,Danny J Bakewell Sr Primary Center,90044,K- K,S,1-Dr George J McKenna III,8621 S Baring Cross St Los Angeles CA 90044
887,San Gabriel Avenue Elementary DL Two-Way Im Spanish,90280,K- 1,E,5-Jackie Goldberg,8628 San Gabriel Av South Gate CA 90280
888,San Gabriel Avenue Elementary,90280,K- 5,E,5-Jackie Goldberg,8628 San Gabriel Ave South Gate CA 90280
889,Odyssey Continuation High,90280,9-12,E,5-Jackie Goldberg,8693 Dearborn Ave South Gate CA 90280
890,Katherine Johnson STEM Academy,90045,6- 8,W,4-Nick Melvoin,8701 Parkhill Dr Los Angeles CA 90045
891,La Salle Avenue Elementary,90047,K- 5,W,1-Dr George J McKenna III,8715 La Salle Ave Los Angeles CA 90047
892,Mervyn M Dymally Senior High,90003,9-12,S,7-Dr Richard A Vladovic,8800 S San Pedro St Los Angeles CA 90003
893,Langdon Avenue Elementary,91343,K- 5,NW,6-Kelly Gonez,8817 Langdon Ave North Hills CA 91343
894,Loyola Village Elementary Fine/Performing Arts Magnet,90045,K- 5,W,4-Nick Melvoin,8821 Villanova Ave Los Angeles CA 90045
895,Rosa Parks Learning Center,91343,K- 5,NW,6-Kelly Gonez,8855 Noble Ave North Hills CA 91343
