,name,is_closed,url,rating,price,review_count,latitude,longitude,location
18,Sweet Flower,False,https://www.yelp.com/biz/sweet-flower-los-angeles-5?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,218,34.14178817,-118.387948,"(34.14178817, -118.387948)"
19,MedMen Venice Beach - Lincoln Blvd,False,https://www.yelp.com/biz/medmen-venice-beach-lincoln-blvd-los-angeles-4?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,236,34.0008077,-118.466145,"(34.0008077, -118.466145)"
20,MedMen Los Angeles - Beverly Hills,False,https://www.yelp.com/biz/medmen-los-angeles-beverly-hills-los-angeles-4?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,246,34.0746620981703,-118.383718578289,"(34.0746620981703, -118.383718578289)"
21,Mary Jane's Collective,False,https://www.yelp.com/biz/mary-janes-collective-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$,112,34.0836418,-118.3072488,"(34.0836418, -118.3072488)"
22,Top Shelf Marijuana Delivery,False,https://www.yelp.com/biz/top-shelf-marijuana-delivery-west-hollywood?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$$$,79,34.09431,-118.36154,"(34.09431, -118.36154)"
23,Organic CBD Nugs - Hemp Flower,False,https://www.yelp.com/biz/organic-cbd-nugs-hemp-flower-los-angeles-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,5.0,,39,34.03023147583008,-118.24201202392578,"(34.03023147583008, -118.24201202392578)"
24,MMD - North Hollywood,False,https://www.yelp.com/biz/mmd-north-hollywood-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,139,34.1561,-118.36995,"(34.1561, -118.36995)"
25,MOTA Medicine Of The Angels,False,https://www.yelp.com/biz/mota-medicine-of-the-angels-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,146,34.09279629730515,-118.2803666,"(34.09279629730515, -118.2803666)"
26,Organic Kind,False,https://www.yelp.com/biz/organic-kind-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$$,57,34.0770492553711,-118.25887298584,"(34.0770492553711, -118.25887298584)"
27,Cornerstone Wellness,False,https://www.yelp.com/biz/cornerstone-wellness-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,165,34.1418972,-118.2220956,"(34.1418972, -118.2220956)"
28,MedMen Los Angeles - West Hollywood,False,https://www.yelp.com/biz/medmen-los-angeles-west-hollywood-west-hollywood-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,565,34.0905911417357,-118.367290442404,"(34.0905911417357, -118.367290442404)"
29,FireHaus,False,https://www.yelp.com/biz/firehaus-los-angeles-6?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,177,34.042108,-118.4416266,"(34.042108, -118.4416266)"
30,Kind Center,False,https://www.yelp.com/biz/kind-center-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,94,34.10658089227271,-118.33052391490047,"(34.10658089227271, -118.33052391490047)"
31,The Artist Tree Marijuana Dispensary & Weed Delivery Los Angeles,False,https://www.yelp.com/biz/the-artist-tree-marijuana-dispensary-and-weed-delivery-los-angeles-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,45,34.0647,-118.30891,"(34.0647, -118.30891)"
32,Markt Dispensary,False,https://www.yelp.com/biz/markt-dispensary-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,67,34.1343,-118.36019,"(34.1343, -118.36019)"
33,Kush Alley Recreational Dispensary Northridge,False,https://www.yelp.com/biz/kush-alley-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,97,34.22270809211192,-118.49783000509575,"(34.22270809211192, -118.49783000509575)"
34,The Artist Tree Marijuana Dispensary&Weed Delivery Beverly Hills,False,https://www.yelp.com/biz/the-artist-tree-marijuana-dispensary-and-weed-delivery-beverly-hills-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,79,34.0763226,-118.370464,"(34.0763226, -118.370464)"
35,Fast & Friendly Delivery Service,False,https://www.yelp.com/biz/fast-and-friendly-delivery-service-hermosa-beach-4?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,156,33.8649142,-118.3944767,"(33.8649142, -118.3944767)"
36,Ganjarunner,False,https://www.yelp.com/biz/ganjarunner-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,138,34.10451126098633,-118.29180145263672,"(34.10451126098633, -118.29180145263672)"
37,Hollywood High Grade,False,https://www.yelp.com/biz/hollywood-high-grade-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,152,34.09108,-118.34312,"(34.09108, -118.34312)"
38,Sunset Herbal Corner Dispensary,False,https://www.yelp.com/biz/sunset-herbal-corner-dispensary-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,90,34.17238,-118.3824735,"(34.17238, -118.3824735)"
39,Project Cannabis,False,https://www.yelp.com/biz/project-cannabis-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,140,34.164803227823995,-118.36736805772395,"(34.164803227823995, -118.36736805772395)"
